GroupID,Loại,Cung địa chi,Chính Tinh,Chính Tinh Đối Cung,Chính Tinh Nhị Hợp,Lá tại Tý,Chính tinh tam hợp,Chính tinh tam hợp
group_id,type,cung.diachi,chinhtinh,d.chinhtinh,n.chinhtinh,check.ty,t1.chinhtinh,t2.chinhtinh
1,Tử Vi đơn thủ Tý -Ngọ,Tý,Vô Chính Diệu,Vô Chính Diệu,Thiên Đồng,Tham Lang|Vô Chính Diệu,Thất Sát,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Tý,Tham Lang,Tử Vi,Cự Môn,Tham Lang|Vô Chính Diệu,Vô Chính Diệu,Phá Quân
1,Tử Vi đơn thủ Tý -Ngọ,Sửu,Thiên Đồng,Vô Chính Diệu,Vô Chính Diệu,,Thiên Cơ,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Sửu,Cự Môn,Vô Chính Diệu,Tham Lang,,Vô Chính Diệu,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Dần,Vũ Khúc,Vô Chính Diệu,Vô Chính Diệu,,Tử Vi,Liêm Trinh
1,Tử Vi đơn thủ Tý -Ngọ,Dần,Thiên Tướng,Phá Quân,Thái Âm,,Vô Chính Diệu,Thiên Phủ
1,Tử Vi đơn thủ Tý -Ngọ,Mão,Thái Dương,Vô Chính Diệu,Liêm Trinh,,Vô Chính Diệu,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Mão,Thiên Lương,Vô Chính Diệu,Thiên Phủ,,Vô Chính Diệu,Thái Âm
1,Tử Vi đơn thủ Tý -Ngọ,Thìn,Vô Chính Diệu,Liêm Trinh,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Thìn,Thất Sát,Thiên Phủ,Vô Chính Diệu,,Phá Quân,Tham Lang
1,Tử Vi đơn thủ Tý -Ngọ,Tỵ,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Thiên Đồng
1,Tử Vi đơn thủ Tý -Ngọ,Tỵ,Thiên Cơ,Thái Âm,Phá Quân,,Vô Chính Diệu,Cự Môn
1,Tử Vi đơn thủ Tý -Ngọ,Ngọ,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Liêm Trinh,Vũ Khúc
1,Tử Vi đơn thủ Tý -Ngọ,Ngọ,Tử Vi,Tham Lang,Vô Chính Diệu,,Thiên Phủ,Thiên Tướng
1,Tử Vi đơn thủ Tý -Ngọ,Mùi,Vô Chính Diệu,Thiên Đồng,Vô Chính Diệu,,Vô Chính Diệu,Thái Dương
1,Tử Vi đơn thủ Tý -Ngọ,Mùi,Vô Chính Diệu,Cự Môn,Tử Vi,,Thái Âm,Thiên Lương
1,Tử Vi đơn thủ Tý -Ngọ,Thân,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Thân,Phá Quân,Thiên Tướng,Thiên Cơ,,Tham Lang,Thất Sát
1,Tử Vi đơn thủ Tý -Ngọ,Dậu,Vô Chính Diệu,Thái Dương,Vô Chính Diệu,,Thiên Đồng,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Dậu,Vô Chính Diệu,Thiên Lương,Thất Sát,,Cự Môn,Thiên Cơ
1,Tử Vi đơn thủ Tý -Ngọ,Tuất,Liêm Trinh,Vô Chính Diệu,Thái Dương,,Vũ Khúc,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Tuất,Thiên Phủ,Thất Sát,Thiên Lương,,Thiên Tướng,Tử Vi
1,Tử Vi đơn thủ Tý -Ngọ,Hợi,Vô Chính Diệu,Vô Chính Diệu,Vũ Khúc,,Thái Dương,Vô Chính Diệu
1,Tử Vi đơn thủ Tý -Ngọ,Hợi,Thái Âm,Thiên Cơ,Thiên Tướng,,Thiên Lương,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Ngọ,Vô Chính Diệu,Vô Chính Diệu,Thiên Đồng,,Thất Sát,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Ngọ,Tham Lang,Tử Vi,Cự Môn,,Vô Chính Diệu,Phá Quân
2,Tử Vi đơn thủ Tý -Ngọ,Mùi,Thiên Đồng,Vô Chính Diệu,Vô Chính Diệu,,Thiên Cơ,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Mùi,Cự Môn,Vô Chính Diệu,Tham Lang,,Vô Chính Diệu,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Thân,Vũ Khúc,Vô Chính Diệu,Vô Chính Diệu,,Tử Vi,Liêm Trinh
2,Tử Vi đơn thủ Tý -Ngọ,Thân,Thiên Tướng,Phá Quân,Thái Âm,,Vô Chính Diệu,Thiên Phủ
2,Tử Vi đơn thủ Tý -Ngọ,Dậu,Thái Dương,Vô Chính Diệu,Liêm Trinh,,Vô Chính Diệu,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Dậu,Thiên Lương,Vô Chính Diệu,Thiên Phủ,,Thái Âm,Thái Âm
2,Tử Vi đơn thủ Tý -Ngọ,Tuất,Vô Chính Diệu,Liêm Trinh,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
2,Tử Vi đơn thủ Tý -Ngọ,Tuất,Thất Sát,Thiên Phủ,Vô Chính Diệu,,Phá Quân,Tham Lang
2,Tử Vi đơn thủ Tý -Ngọ,Hợi,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Thiên Đồng
2,Tử Vi đơn thủ Tý -Ngọ,Hợi,Thiên Cơ,Thái Âm,Phá Quân,,Vô Chính Diệu,Cự Môn
2,Tử Vi đơn thủ Tý -Ngọ,Tý,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,Tử Vi|Vô Chính Diệu,Liêm Trinh,Vũ Khúc
2,Tử Vi đơn thủ Tý -Ngọ,Tý,Tử Vi,Tham Lang,Vô Chính Diệu,Tử Vi|Vô Chính Diệu,Thiên Phủ,Thiên Tướng
2,Tử Vi đơn thủ Tý -Ngọ,Sửu,Vô Chính Diệu,Thiên Đồng,Vô Chính Diệu,,Thái Dương,Thái Dương
2,Tử Vi đơn thủ Tý -Ngọ,Sửu,Vô Chính Diệu,Cự Môn,Tử Vi,,Thiên Lương,Thiên Lương
2,Tử Vi đơn thủ Tý -Ngọ,Dần,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
