,,,,,,,,,,,,,,
Can,Hóa Lộc,Hóa Quyền,Hóa Khoa,Hóa Kỵ,,,,,,,,,,
Giáp,Liêm Trinh,Phá Quân,Vũ Khúc,Thái Dương,,,,,,Mệnh,,L.Mệnh,,Cự Môn
Ất,Thiên Cơ,Thiên Lương,Tử Vi,Thái Âm,,,,,,Phụ,,L.Phụ,,Liêm Trinh
Bính,Thiên Đồng,Thiên Cơ,Văn Xương,Liêm Trinh,,,,,,Phúc,,L.Phúc,,Phá Quân
Đinh,Thái Âm,Thiên Đồng,Thiên Cơ,Cự Môn,,,,,,Điền,,L.Điền,,Thái Âm
Mậu,Tham Lang,Thái Âm,Hữu Bật,Thiên Cơ,,,,,,Quan,,L.Quan,,Thái Dương
Kỷ,Vũ Khúc,Tham Lang,Thiên Lương,Văn Khúc,,,,,,Nô,,L.Nô,,Tham Lang
Canh,Thái Dương,Vũ Khúc,Thái Âm,Thiên Đồng,,,,,,Di,,L.Di,,Thất Sát
Tân,Cự Môn,Thái Dương,Văn Khúc,Văn Xương,,,,,,Tật,,L.Tật,,Thiên Cơ
Nhâm,Thiên Lương,Tử Vi,Thiên Phủ,Vũ Khúc,,,,,,Tài,,L.Tài,,Thiên Đồng
Quý,Phá Quân,Cự Môn,Thái Âm,Tham Lang,,,,,,Tử,,L.Tử,,Thiên Lương
,,,,,,,,,,Phu,,L.Phu,,Thiên Phủ
,,,,,,,,,,Bào,,L.Bào,,Thiên Tướng
,,,,,,,,,,,,,,Tử Vi
,,,,,,,,,,,,,,Vô Chính Diệu
,,,,,,,,,,,,,,Vũ Khúc
