country,timezone,year,term_key,term_name,date_local,datetime_local,datetime_utc
VN,Asia/Ho_Chi_Minh,2000,minor_cold,Minor Cold,2000-01-06,2000-01-06 08:00:42,2000-01-06 01:00:42
KR,Asia/Seoul,2000,minor_cold,Minor Cold,2000-01-06,2000-01-06 10:00:42,2000-01-06 01:00:42
JP,Asia/Tokyo,2000,minor_cold,Minor Cold,2000-01-06,2000-01-06 10:00:42,2000-01-06 01:00:42
CN,Asia/Shanghai,2000,minor_cold,Minor Cold,2000-01-06,2000-01-06 09:00:42,2000-01-06 01:00:42
VN,Asia/Ho_Chi_Minh,2000,major_cold,Major Cold,2000-01-21,2000-01-21 01:23:02,2000-01-20 18:23:02
KR,Asia/Seoul,2000,major_cold,Major Cold,2000-01-21,2000-01-21 03:23:02,2000-01-20 18:23:02
JP,Asia/Tokyo,2000,major_cold,Major Cold,2000-01-21,2000-01-21 03:23:02,2000-01-20 18:23:02
CN,Asia/Shanghai,2000,major_cold,Major Cold,2000-01-21,2000-01-21 02:23:02,2000-01-20 18:23:02
VN,Asia/Ho_Chi_Minh,2000,start_of_spring,Start Of Spring,2000-02-04,2000-02-04 19:40:23,2000-02-04 12:40:23
KR,Asia/Seoul,2000,start_of_spring,Start Of Spring,2000-02-04,2000-02-04 21:40:23,2000-02-04 12:40:23
JP,Asia/Tokyo,2000,start_of_spring,Start Of Spring,2000-02-04,2000-02-04 21:40:23,2000-02-04 12:40:23
CN,Asia/Shanghai,2000,start_of_spring,Start Of Spring,2000-02-04,2000-02-04 20:40:23,2000-02-04 12:40:23
VN,Asia/Ho_Chi_Minh,2000,spring_showers,Spring Showers,2000-02-19,2000-02-19 15:33:18,2000-02-19 08:33:18
KR,Asia/Seoul,2000,spring_showers,Spring Showers,2000-02-19,2000-02-19 17:33:18,2000-02-19 08:33:18
JP,Asia/Tokyo,2000,spring_showers,Spring Showers,2000-02-19,2000-02-19 17:33:18,2000-02-19 08:33:18
CN,Asia/Shanghai,2000,spring_showers,Spring Showers,2000-02-19,2000-02-19 16:33:18,2000-02-19 08:33:18
VN,Asia/Ho_Chi_Minh,2000,awakening_of_insects,Awakening Of Insects,2000-03-05,2000-03-05 13:42:39,2000-03-05 06:42:39
KR,Asia/Seoul,2000,awakening_of_insects,Awakening Of Insects,2000-03-05,2000-03-05 15:42:39,2000-03-05 06:42:39
JP,Asia/Tokyo,2000,awakening_of_insects,Awakening Of Insects,2000-03-05,2000-03-05 15:42:39,2000-03-05 06:42:39
CN,Asia/Shanghai,2000,awakening_of_insects,Awakening Of Insects,2000-03-05,2000-03-05 14:42:39,2000-03-05 06:42:39
VN,Asia/Ho_Chi_Minh,2000,spring_equinox,Spring Equinox,2000-03-20,2000-03-20 14:35:15,2000-03-20 07:35:15
KR,Asia/Seoul,2000,spring_equinox,Spring Equinox,2000-03-20,2000-03-20 16:35:15,2000-03-20 07:35:15
JP,Asia/Tokyo,2000,spring_equinox,Spring Equinox,2000-03-20,2000-03-20 16:35:15,2000-03-20 07:35:15
CN,Asia/Shanghai,2000,spring_equinox,Spring Equinox,2000-03-20,2000-03-20 15:35:15,2000-03-20 07:35:15
VN,Asia/Ho_Chi_Minh,2000,pure_brightness,Pure Brightness,2000-04-04,2000-04-04 18:31:58,2000-04-04 11:31:58
KR,Asia/Seoul,2000,pure_brightness,Pure Brightness,2000-04-04,2000-04-04 20:31:58,2000-04-04 11:31:58
JP,Asia/Tokyo,2000,pure_brightness,Pure Brightness,2000-04-04,2000-04-04 20:31:58,2000-04-04 11:31:58
CN,Asia/Shanghai,2000,pure_brightness,Pure Brightness,2000-04-04,2000-04-04 19:31:58,2000-04-04 11:31:58
VN,Asia/Ho_Chi_Minh,2000,grain_rain,Grain Rain,2000-04-20,2000-04-20 01:39:31,2000-04-19 18:39:31
KR,Asia/Seoul,2000,grain_rain,Grain Rain,2000-04-20,2000-04-20 03:39:31,2000-04-19 18:39:31
JP,Asia/Tokyo,2000,grain_rain,Grain Rain,2000-04-20,2000-04-20 03:39:31,2000-04-19 18:39:31
CN,Asia/Shanghai,2000,grain_rain,Grain Rain,2000-04-20,2000-04-20 02:39:31,2000-04-19 18:39:31
VN,Asia/Ho_Chi_Minh,2000,start_of_summer,Start Of Summer,2000-05-05,2000-05-05 11:50:10,2000-05-05 04:50:10
KR,Asia/Seoul,2000,start_of_summer,Start Of Summer,2000-05-05,2000-05-05 13:50:10,2000-05-05 04:50:10
JP,Asia/Tokyo,2000,start_of_summer,Start Of Summer,2000-05-05,2000-05-05 13:50:10,2000-05-05 04:50:10
CN,Asia/Shanghai,2000,start_of_summer,Start Of Summer,2000-05-05,2000-05-05 12:50:10,2000-05-05 04:50:10
VN,Asia/Ho_Chi_Minh,2000,grain_buds,Grain Buds,2000-05-21,2000-05-21 00:49:25,2000-05-20 17:49:25
KR,Asia/Seoul,2000,grain_buds,Grain Buds,2000-05-21,2000-05-21 02:49:25,2000-05-20 17:49:25
JP,Asia/Tokyo,2000,grain_buds,Grain Buds,2000-05-21,2000-05-21 02:49:25,2000-05-20 17:49:25
CN,Asia/Shanghai,2000,grain_buds,Grain Buds,2000-05-21,2000-05-21 01:49:25,2000-05-20 17:49:25
VN,Asia/Ho_Chi_Minh,2000,grain_in_ear,Grain In Ear,2000-06-05,2000-06-05 15:58:34,2000-06-05 08:58:34
KR,Asia/Seoul,2000,grain_in_ear,Grain In Ear,2000-06-05,2000-06-05 17:58:34,2000-06-05 08:58:34
JP,Asia/Tokyo,2000,grain_in_ear,Grain In Ear,2000-06-05,2000-06-05 17:58:34,2000-06-05 08:58:34
CN,Asia/Shanghai,2000,grain_in_ear,Grain In Ear,2000-06-05,2000-06-05 16:58:34,2000-06-05 08:58:34
VN,Asia/Ho_Chi_Minh,2000,summer_solstice,Summer Solstice,2000-06-21,2000-06-21 08:47:43,2000-06-21 01:47:43
KR,Asia/Seoul,2000,summer_solstice,Summer Solstice,2000-06-21,2000-06-21 10:47:43,2000-06-21 01:47:43
JP,Asia/Tokyo,2000,summer_solstice,Summer Solstice,2000-06-21,2000-06-21 10:47:43,2000-06-21 01:47:43
CN,Asia/Shanghai,2000,summer_solstice,Summer Solstice,2000-06-21,2000-06-21 09:47:43,2000-06-21 01:47:43
VN,Asia/Ho_Chi_Minh,2000,minor_heat,Minor Heat,2000-07-07,2000-07-07 02:13:57,2000-07-06 19:13:57
KR,Asia/Seoul,2000,minor_heat,Minor Heat,2000-07-07,2000-07-07 04:13:57,2000-07-06 19:13:57
JP,Asia/Tokyo,2000,minor_heat,Minor Heat,2000-07-07,2000-07-07 04:13:57,2000-07-06 19:13:57
CN,Asia/Shanghai,2000,minor_heat,Minor Heat,2000-07-07,2000-07-07 03:13:57,2000-07-06 19:13:57
VN,Asia/Ho_Chi_Minh,2000,major_heat,Major Heat,2000-07-22,2000-07-22 19:42:42,2000-07-22 12:42:42
KR,Asia/Seoul,2000,major_heat,Major Heat,2000-07-22,2000-07-22 21:42:42,2000-07-22 12:42:42
JP,Asia/Tokyo,2000,major_heat,Major Heat,2000-07-22,2000-07-22 21:42:42,2000-07-22 12:42:42
CN,Asia/Shanghai,2000,major_heat,Major Heat,2000-07-22,2000-07-22 20:42:42,2000-07-22 12:42:42
VN,Asia/Ho_Chi_Minh,2000,start_of_autumn,Start Of Autumn,2000-08-07,2000-08-07 12:03:00,2000-08-07 05:03:00
KR,Asia/Seoul,2000,start_of_autumn,Start Of Autumn,2000-08-07,2000-08-07 14:03:00,2000-08-07 05:03:00
JP,Asia/Tokyo,2000,start_of_autumn,Start Of Autumn,2000-08-07,2000-08-07 14:03:00,2000-08-07 05:03:00
